Custo da AGM: 2142.3415231779218
Vertice,Adjacente
771,0
390,771
826,0
124,826
677,124
104,124
93,0
185,93
11,104
958,11
331,958
980,331
831,980
478,831
899,478
85,899
808,831
611,478
766,958
822,766
775,766
811,775
18,811
952,18
205,811
863,952
179,863
387,179
333,387
114,863
78,114
832,78
874,78
567,874
681,567
568,205
208,568
36,208
773,36
519,36
609,519
917,609
428,917
248,428
941,428
549,941
168,549
848,941
178,205
982,775
234,952
148,848
39,148
725,39
516,725
182,725
32,148
267,32
14,267
409,14
598,32
618,409
891,409
145,891
101,145
723,145
347,101
284,347
882,182
356,882
585,882
872,267
829,872
991,829
939,991
69,939
824,69
57,356
690,57
728,829
763,69
281,763
464,281
108,464
947,108
155,947
500,155
508,500
664,464
308,568
374,308
614,308
309,374
633,374
860,633
26,633
165,26
666,165
694,728
471,694
170,471
560,170
667,560
780,667
499,780
73,499
754,73
312,754
380,312
225,780
189,225
278,189
191,278
729,191
858,729
977,858
475,977
427,977
386,427
672,278
213,672
981,386
801,981
896,189
330,896
673,330
385,896
836,385
210,836
590,210
82,728
753,611
809,73
569,809
408,809
466,408
653,466
81,653
627,81
349,627
435,349
203,627
262,435
228,262
543,228
787,543
472,787
643,472
260,472
517,260
914,435
868,914
650,868
799,650
217,799
518,217
304,228
503,304
399,503
286,787
579,286
461,579
961,461
23,961
255,518
456,255
258,456
130,258
537,130
934,537
426,130
72,426
77,72
993,77
125,993
285,77
190,285
317,993
660,190
823,660
251,823
619,317
97,619
306,97
274,306
642,274
995,642
30,274
487,426
637,487
122,637
875,122
576,875
326,122
474,326
839,474
925,839
467,925
956,925
866,956
607,866
296,467
177,296
171,607
649,171
817,649
971,817
989,487
359,989
706,359
984,706
707,706
758,984
470,758
287,470
216,287
136,287
5,136
620,5
476,620
127,476
123,127
792,123
659,123
201,5
463,201
156,476
515,463
916,515
804,916
869,916
810,869
338,810
142,338
115,810
724,115
636,115
132,338
750,132
143,750
31,143
645,31
350,645
845,350
936,31
913,936
902,913
716,902
91,716
837,91
785,837
344,785
138,142
691,138
320,785
793,620
481,845
847,320
974,847
733,847
443,733
634,443
280,251
571,280
295,571
552,295
