Custo da AGM: 632.1630338430405
Vertice,Adjacente
95,0
17,95
78,17
82,95
10,82
61,10
85,10
98,61
79,98
22,61
90,22
20,90
88,20
14,88
83,14
32,79
43,79
57,43
96,43
52,32
73,52
92,96
35,92
25,35
11,25
91,35
3,91
36,91
74,3
93,74
1,74
77,1
54,77
38,54
80,38
15,80
31,11
86,77
21,86
28,21
94,28
23,21
58,23
46,23
34,46
27,94
37,27
89,37
68,89
29,68
2,68
66,2
4,66
16,4
42,86
56,15
8,28
48,8
69,31
76,69
49,69
19,49
7,19
84,82
13,46
41,13
47,13
99,47
51,99
33,25
87,41
62,87
30,62
5,62
55,30
18,42
26,18
81,26
6,81
9,6
59,9
64,59
60,9
12,64
53,12
72,53
65,72
75,72
24,75
97,24
45,97
40,45
63,40
70,12
67,6
50,51
39,33
71,39
44,71
0,0
